strategy,period,n_seeds,in_sample,cagr_mean,cagr_ci_lo,cagr_ci_hi,ann_vol_mean,ann_vol_ci_lo,ann_vol_ci_hi,sharpe_mean,sharpe_ci_lo,sharpe_ci_hi,sortino_mean,sortino_ci_lo,sortino_ci_hi,max_drawdown_mean,max_drawdown_ci_lo,max_drawdown_ci_hi,calmar_mean,calmar_ci_lo,calmar_ci_hi,cvar_95_mean,cvar_95_ci_lo,cvar_95_ci_hi,ann_turnover_mean,ann_turnover_ci_lo,ann_turnover_ci_hi
PPO,recovery_2020_21,5,False,0.039517331504534424,-0.06693378686285456,0.14596844987192342,0.11816890038860897,0.10420609657981626,0.1321317041974017,0.38764728658474473,-0.482193711184509,1.2574882843539985,0.5572039649679684,-0.6226437869130713,1.7370517168490083,-0.1011951632864027,-0.13513127474463024,-0.06725905182817515,0.4696045728561738,-0.5397798570344221,1.4789890027467696,0.018822840772872024,0.01527332389244727,0.022372357653296777,195.09366230162897,178.47138831471136,211.71593628854657
PPO,val,5,False,-0.03178627389687361,-0.1009752738644336,0.037402726070686385,0.09928726778155131,0.09142779426101172,0.1071467413020909,-0.31228250962128445,-1.072541236223199,0.44797621698063006,-0.38323311395620674,-1.3618359900741352,0.5953697621617218,-0.2785740761964844,-0.3589923986143282,-0.19815575377864061,-0.07975545799954106,-0.3373238186775399,0.1778129026784578,0.015899035003397018,0.014712626372065015,0.017085443634729018,190.77859988214044,173.4322217329697,208.12497803131117
buy_and_hold,calm_2023_24,1,False,0.14968361990684387,0.14968361990684387,0.14968361990684387,0.08238123595367121,0.08238123595367121,0.08238123595367121,1.7347649227167958,1.7347649227167958,1.7347649227167958,2.6279570713329945,2.6279570713329945,2.6279570713329945,-0.07248642165054664,-0.07248642165054664,-0.07248642165054664,2.064988400565019,2.064988400565019,2.064988400565019,0.010961227895158134,0.010961227895158134,0.010961227895158134,9.077844858796759e-15,9.077844858796759e-15,9.077844858796759e-15
buy_and_hold,covid_crash,1,False,0.11709766168954072,0.11709766168954072,0.11709766168954072,0.16590930415697708,0.16590930415697708,0.16590930415697708,0.7499220535261183,0.7499220535261183,0.7499220535261183,0.8848189751776061,0.8848189751776061,0.8848189751776061,-0.12158355733595161,-0.12158355733595161,-0.12158355733595161,0.9631044218091451,0.9631044218091451,0.9631044218091451,0.026096032749974768,0.026096032749974768,0.026096032749974768,8.929027729964026e-15,8.929027729964026e-15,8.929027729964026e-15
buy_and_hold,gfc,1,False,0.04037336955223658,0.04037336955223658,0.04037336955223658,0.13555250168358635,0.13555250168358635,0.13555250168358635,0.35961943795614587,0.35961943795614587,0.35961943795614587,0.5236384806346256,0.5236384806346256,0.5236384806346256,-0.20624465250414814,-0.20624465250414814,-0.20624465250414814,0.19575474593904715,0.19575474593904715,0.19575474593904715,0.018815661388945915,0.018815661388945915,0.018815661388945915,9.108992629947796e-15,9.108992629947796e-15,9.108992629947796e-15
buy_and_hold,inflation_2022,1,False,-0.09970571489219338,-0.09970571489219338,-0.09970571489219338,0.12382000355532316,0.12382000355532316,0.12382000355532316,-0.7865672018472617,-0.7865672018472617,-0.7865672018472617,-1.32633573606656,-1.32633573606656,-1.32633573606656,-0.16349466259050527,-0.16349466259050527,-0.16349466259050527,-0.6098407942644585,-0.6098407942644585,-0.6098407942644585,0.015983833343483165,0.015983833343483165,0.015983833343483165,8.965555570677514e-15,8.965555570677514e-15,8.965555570677514e-15
buy_and_hold,recovery_2020_21,1,False,0.0786862513050175,0.0786862513050175,0.0786862513050175,0.07958121755309248,0.07958121755309248,0.07958121755309248,0.991654700475579,0.991654700475579,0.991654700475579,1.3420898740972544,1.3420898740972544,1.3420898740972544,-0.05003539043978833,-0.05003539043978833,-0.05003539043978833,1.5726119175527786,1.5726119175527786,1.5726119175527786,0.011740602505555706,0.011740602505555706,0.011740602505555706,9.018573853330427e-15,9.018573853330427e-15,9.018573853330427e-15
buy_and_hold,val,1,False,0.0857898571954856,0.0857898571954856,0.0857898571954856,0.05914521327240554,0.05914521327240554,0.05914521327240554,1.421398669835542,1.421398669835542,1.421398669835542,2.05051532580272,2.05051532580272,2.05051532580272,-0.08476804478572109,-0.08476804478572109,-0.08476804478572109,1.0120542170383602,1.0120542170383602,1.0120542170383602,0.008319764175888823,0.008319764175888823,0.008319764175888823,1.0186723259791436e-14,1.0186723259791436e-14,1.0186723259791436e-14
equal_weight,calm_2023_24,1,False,0.14594129487425156,0.14594129487425156,0.14594129487425156,0.07985539397101472,0.07985539397101472,0.07985539397101472,1.7462189115419586,1.7462189115419586,1.7462189115419586,2.6799310012095914,2.6799310012095914,2.6799310012095914,-0.0721780770356314,-0.0721780770356314,-0.0721780770356314,2.021961527212844,2.021961527212844,2.021961527212844,0.010535905628827669,0.010535905628827669,0.010535905628827669,1.0408123625367083,1.0408123625367083,1.0408123625367083
equal_weight,covid_crash,1,False,0.1464617530355079,0.1464617530355079,0.1464617530355079,0.18749877424373376,0.18749877424373376,0.18749877424373376,0.8221585235962351,0.8221585235962351,0.8221585235962351,0.9725381988561436,0.9725381988561436,0.9725381988561436,-0.12552239448601588,-0.12552239448601588,-0.12552239448601588,1.166817711176031,1.166817711176031,1.166817711176031,0.029593773177889398,0.029593773177889398,0.029593773177889398,2.9556470811284674,2.9556470811284674,2.9556470811284674
