strategy,kind,seed,period,in_sample,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,n_days,avg_daily_turnover,ann_turnover,avg_w_SPY,avg_w_IEF,avg_w_GLD
static_60_30_10,baseline,-1,recovery_2020_21,False,0.22551811216364492,0.15817027801600636,0.09074069778069493,1.6640408437684042,2.2305816387201505,-0.06163927089615229,2.566063415683261,0.008668429082281597,0.013542656498668943,349,0.005358040705885062,1.3502262578830355,0.6002809758704627,0.29979382810251215,0.09992519602702524
equal_weight,baseline,-1,recovery_2020_21,False,0.09368467690475302,0.06679892081626715,0.07846705443877174,0.8633551264846642,1.1550690581859318,-0.05414881538338068,1.2336173994448831,0.00910050534997842,0.011704100198974518,349,0.00437814928506716,1.1032936198369245,0.3336029698214501,0.3332106909445896,0.3331863392339603
buy_and_hold,baseline,-1,recovery_2020_21,False,0.11059870519687842,0.0786862513050175,0.07958121755309248,0.991654700475579,1.3420898740972544,-0.05003539043978833,1.5726119175527786,0.008827760046941597,0.011740602505555706,349,3.578799148146995e-17,9.018573853330427e-15,0.38891021505817974,0.3115597168802588,0.29953006806156146
inverse_vol,baseline,-1,recovery_2020_21,False,0.03695376917384996,0.026548035642856904,0.053661245359588265,0.5150910288802167,0.6957819482842726,-0.05523283325501649,0.480656777469327,0.005589815181715147,0.0081774884346326,349,0.010978471795153594,2.766574892378706,0.20541276321763188,0.6130756098960389,0.18151162688632916
random,baseline,-1,recovery_2020_21,False,-0.08583938131467461,-0.06274925575579005,0.09513538556335747,-0.6336024544934191,-0.87599233150108,-0.14609942640022477,-0.42949693439517506,0.010754823630753522,0.014675045601270321,349,0.9802711390093161,247.02832703034764,0.33184513429074586,0.3402086520643824,0.32794621364487175
DQN,rl,0,recovery_2020_21,False,0.04592217504282692,0.03295112951277912,0.116786018555616,0.3360199090069232,0.4226283627513322,-0.10735439155026871,0.30693788150575796,0.011073030225575663,0.01851961446166336,349,0.7446462739099983,187.65086102531956,0.2621888640469108,0.37320406765543246,0.3646070682976567
DQN,rl,1,recovery_2020_21,False,0.06362445702898678,0.04554529510603755,0.11162065016024285,0.4548146193499667,0.6113486951085891,-0.0985293609954595,0.4622509944841356,0.010834412913633561,0.017154840875100417,349,0.6016485412064474,151.61543238402476,0.2901325421766121,0.36247395836063645,0.34739349946275133
DQN,rl,2,recovery_2020_21,False,0.1545919781753704,0.1093723521725285,0.11902285599985842,0.9317491580124099,1.184617309699857,-0.1037369250997916,1.054324215483694,0.011266219560579582,0.018607456424519345,349,0.6401943570981748,161.32897798874006,0.3253442867728375,0.26350403538787187,0.4111516778392907
DQN,rl,3,recovery_2020_21,False,0.15139380648880807,0.10715265856338663,0.12114557582837353,0.9008882015693257,1.2193168659344755,-0.07951206515473752,1.3476276632339768,0.012979647016752473,0.018289796650998037,349,0.6875035052397384,173.25088332041406,0.3531978475360225,0.3252019072040155,0.32160024525996195
DQN,rl,4,recovery_2020_21,False,0.21876354309494261,0.1535575405153018,0.10991694234013595,1.3547854226445282,2.0392198055700175,-0.08408747056755062,1.8261643438536217,0.01001358128004185,0.014882637243865432,349,0.8266427104465314,208.31396303252592,0.40899559952788545,0.28576700900677815,0.3052373914653364
