strategy,period,n_seeds,cagr_mean,cagr_ci_lo,cagr_ci_hi,ann_vol_mean,ann_vol_ci_lo,ann_vol_ci_hi,sharpe_mean,sharpe_ci_lo,sharpe_ci_hi,sortino_mean,sortino_ci_lo,sortino_ci_hi,max_drawdown_mean,max_drawdown_ci_lo,max_drawdown_ci_hi,calmar_mean,calmar_ci_lo,calmar_ci_hi,cvar_95_mean,cvar_95_ci_lo,cvar_95_ci_hi,ann_turnover_mean,ann_turnover_ci_lo,ann_turnover_ci_hi
PPO,recovery_2020_21,3,-0.13845761696699865,-0.19835051013888524,-0.07856472379511206,0.1768124652667622,0.11069668665013985,0.24292824388338455,-0.7666885420902066,-1.2907922895516446,-0.2425847946287688,-1.0652426319960469,-1.6658663665234483,-0.46461889746864526,-0.2719057625029974,-0.3711790057547518,-0.17263251925124304,-0.5082021596468141,-0.579560152574303,-0.4368441667193252,0.026942551796951115,0.014708743840883855,0.03917635975301838,205.58060475900857,153.13015739946974,258.0310521185474
PPO,val,3,-0.1176301648230433,-0.23246484730793657,-0.0027954823381500238,0.12815660404650073,0.11872499318963105,0.13758821490337042,-0.9135467743294114,-1.8791345536384338,0.05204100497961095,-1.3220673062235917,-2.6732480401967473,0.029113427749563714,-0.43143656774039746,-0.6692673656473576,-0.19360576983343736,-0.2660935898744858,-0.3802128022437851,-0.15197437750518644,0.018643115302121118,0.017225126284719817,0.02006110431952242,210.30591370668404,149.06143635896626,271.5503910544018
buy_and_hold,calm_2023_24,1,0.05849403574447454,0.05849403574447454,0.05849403574447454,0.07966373457499289,0.07966373457499289,0.07966373457499289,0.7534653715437346,0.7534653715437346,0.7534653715437346,1.0424567389967117,1.0424567389967117,1.0424567389967117,-0.14891281546344826,-0.14891281546344826,-0.14891281546344826,0.39280726485782097,0.39280726485782097,0.39280726485782097,0.011991935938369757,0.011991935938369757,0.011991935938369757,7.151102520732221e-15,7.151102520732221e-15,7.151102520732221e-15
buy_and_hold,covid_crash,1,0.018680591485033426,0.018680591485033426,0.018680591485033426,0.059329212907042295,0.059329212907042295,0.059329212907042295,0.34132429554835564,0.34132429554835564,0.34132429554835564,0.5968281169337123,0.5968281169337123,0.5968281169337123,-0.028858637754668903,-0.028858637754668903,-0.028858637754668903,0.6473136966422187,0.6473136966422187,0.6473136966422187,0.007466852479986588,0.007466852479986588,0.007466852479986588,5.934646713450837e-15,5.934646713450837e-15,5.934646713450837e-15
buy_and_hold,gfc,1,-0.10588050622047962,-0.10588050622047962,-0.10588050622047962,0.09301909430286807,0.09301909430286807,0.09301909430286807,-1.156407658163879,-1.156407658163879,-1.156407658163879,-1.6973542714613123,-1.6973542714613123,-1.6973542714613123,-0.2674591186422215,-0.2674591186422215,-0.2674591186422215,-0.3958754771869093,-0.3958754771869093,-0.3958754771869093,0.013337956714154836,0.013337956714154836,0.013337956714154836,8.404682245482091e-15,8.404682245482091e-15,8.404682245482091e-15
buy_and_hold,inflation_2022,1,-0.004566329910399625,-0.004566329910399625,-0.004566329910399625,0.06381298118405136,0.06381298118405136,0.06381298118405136,-0.03993746924831512,-0.03993746924831512,-0.03993746924831512,-0.06055599427798299,-0.06055599427798299,-0.06055599427798299,-0.057617193658365706,-0.057617193658365706,-0.057617193658365706,-0.07925290387232559,-0.07925290387232559,-0.07925290387232559,0.008353360654275369,0.008353360654275369,0.008353360654275369,8.85754351960769e-15,8.85754351960769e-15,8.85754351960769e-15
buy_and_hold,recovery_2020_21,1,-0.16680321271507947,-0.16680321271507947,-0.16680321271507947,0.09468341514313788,0.09468341514313788,0.09468341514313788,-1.879343616839803,-1.879343616839803,-1.879343616839803,-2.7490966400825143,-2.7490966400825143,-2.7490966400825143,-0.23616289443862293,-0.23616289443862293,-0.23616289443862293,-0.706305760316765,-0.706305760316765,-0.706305760316765,0.013918880757444825,0.013918880757444825,0.013918880757444825,8.385557441795865e-15,8.385557441795865e-15,8.385557441795865e-15
buy_and_hold,val,1,0.017234668689414923,0.017234668689414923,0.017234668689414923,0.0883447823012622,0.0883447823012622,0.0883447823012622,0.2375685358511716,0.2375685358511716,0.2375685358511716,0.36089950246784713,0.36089950246784713,0.36089950246784713,-0.1648602759378196,-0.1648602759378196,-0.1648602759378196,0.10454106419132361,0.10454106419132361,0.10454106419132361,0.012552851666188221,0.012552851666188221,0.012552851666188221,9.178428768007816e-15,9.178428768007816e-15,9.178428768007816e-15
equal_weight,calm_2023_24,1,0.06401563878388061,0.06401563878388061,0.06401563878388061,0.0821261824260635,0.0821261824260635,0.0821261824260635,0.7966658227126407,0.7966658227126407,0.7966658227126407,1.0954477651784824,1.0954477651784824,1.0954477651784824,-0.1501338676837113,-0.1501338676837113,-0.1501338676837113,0.42639039259777867,0.42639039259777867,0.42639039259777867,0.01224348141440067,0.01224348141440067,0.01224348141440067,1.2967662037172167,1.2967662037172167,1.2967662037172167
equal_weight,covid_crash,1,0.01715656929604381,0.01715656929604381,0.01715656929604381,0.05942080539239009,0.05942080539239009,0.05942080539239009,0.3156919356115656,0.3156919356115656,0.3156919356115656,0.5521320637090913,0.5521320637090913,0.5521320637090913,-0.026676566477922492,-0.026676566477922492,-0.026676566477922492,0.6431325901795711,0.6431325901795711,0.6431325901795711,0.007490221996091002,0.007490221996091002,0.007490221996091002,1.081849803513847,1.081849803513847,1.081849803513847
equal_weight,gfc,1,-0.1010073165297285,-0.1010073165297285,-0.1010073165297285,0.09266315448994605,0.09266315448994605,0.09266315448994605,-1.1025766898081775,-1.1025766898081775,-1.1025766898081775,-1.6321143095272166,-1.6321143095272166,-1.6321143095272166,-0.26169141803991314,-0.26169141803991314,-0.26169141803991314,-0.3859787122034047,-0.3859787122034047,-0.3859787122034047,0.013241724509845603,0.013241724509845603,0.013241724509845603,1.3706651374244934,1.3706651374244934,1.3706651374244934
equal_weight,inflation_2022,1,-0.006394596544007314,-0.006394596544007314,-0.006394596544007314,0.0648950400048081,0.0648950400048081,0.0648950400048081,-0.0665289288685243,-0.0665289288685243,-0.0665289288685243,-0.10163449295143145,-0.10163449295143145,-0.10163449295143145,-0.0596254013089732,-0.0596254013089732,-0.0596254013089732,-0.10724618037992094,-0.10724618037992094,-0.10724618037992094,0.008484516752451116,0.008484516752451116,0.008484516752451116,1.1751857514963768,1.1751857514963768,1.1751857514963768
equal_weight,recovery_2020_21,1,-0.18552371810324753,-0.18552371810324753,-0.18552371810324753,0.10320195990718987,0.10320195990718987,0.10320195990718987,-1.936096950368484,-1.936096950368484,-1.936096950368484,-2.879596492443077,-2.879596492443077,-2.879596492443077,-0.2674646805464933,-0.2674646805464933,-0.2674646805464933,-0.6936381944867596,-0.6936381944867596,-0.6936381944867596,0.014965697290158658,0.014965697290158658,0.014965697290158658,1.970115153832837,1.970115153832837,1.970115153832837
equal_weight,val,1,0.02186872369648052,0.02186872369648052,0.02186872369648052,0.08779510294689181,0.08779510294689181,0.08779510294689181,0.2902766385687281,0.2902766385687281,0.2902766385687281,0.4328445020702976,0.4328445020702976,0.4328445020702976,-0.16513649796113572,-0.16513649796113572,-0.16513649796113572,0.13242816679827643,0.13242816679827643,0.13242816679827643,0.012564416831892118,0.012564416831892118,0.012564416831892118,1.4140388115739113,1.4140388115739113,1.4140388115739113
inverse_vol,calm_2023_24,1,0.04492587332653519,0.04492587332653519,0.04492587332653519,0.053885265848149504,0.053885265848149504,0.053885265848149504,0.8425062814614781,0.8425062814614781,0.8425062814614781,1.3655298306210362,1.3655298306210362,1.3655298306210362,-0.07332527031917269,-0.07332527031917269,-0.07332527031917269,0.6126929110657261,0.6126929110657261,0.6126929110657261,0.0069575742998647695,0.0069575742998647695,0.0069575742998647695,2.7013880775584194,2.7013880775584194,2.7013880775584194
inverse_vol,covid_crash,1,-0.04128900139432001,-0.04128900139432001,-0.04128900139432001,0.046756694385904504,0.046756694385904504,0.046756694385904504,-0.8785949383262626,-0.8785949383262626,-0.8785949383262626,-1.4737366436190944,-1.4737366436190944,-1.4737366436190944,-0.019893501591633833,-0.019893501591633833,-0.019893501591633833,-2.0755019524407916,-2.0755019524407916,-2.0755019524407916,0.006254669216823059,0.006254669216823059,0.006254669216823059,3.7737121132062117,3.7737121132062117,3.7737121132062117
inverse_vol,gfc,1,-0.10343290237029834,-0.10343290237029834,-0.10343290237029834,0.08202103478016047,0.08202103478016047,0.08202103478016047,-1.2898844876145406,-1.2898844876145406,-1.2898844876145406,-1.8231031438153689,-1.8231031438153689,-1.8231031438153689,-0.24623124734573643,-0.24623124734573643,-0.24623124734573643,-0.42006407994622585,-0.42006407994622585,-0.42006407994622585,0.012300959612818019,0.012300959612818019,0.012300959612818019,2.737200733344543,2.737200733344543,2.737200733344543
