strategy,kind,seed,period,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,var_95,cvar_95,n_days,avg_daily_turnover,ann_turnover,avg_w_SPY,avg_w_IEF,avg_w_GLD
buy_and_hold,baseline,-1,covid_crash,0.0072975977029896555,0.018680591485033426,0.059329212907042295,0.34132429554835564,0.5968281169337123,-0.028858637754668903,0.6473136966422187,0.005460089514474516,0.007466852479986588,99,2.3550185370836655e-17,5.934646713450837e-15,0.3556115089647031,0.32829732176703313,0.3160911692682638
inverse_vol,baseline,-1,covid_crash,-0.0164286135655497,-0.04128900139432001,0.046756694385904504,-0.8785949383262626,-1.4737366436190944,-0.019893501591633833,-2.0755019524407916,0.004417013839231169,0.006254669216823059,99,0.014975048068278618,3.7737121132062117,0.17732974553231054,0.5938944756846443,0.2287757787830453
random,baseline,-1,covid_crash,0.0007240363989895471,0.0018440330061515464,0.08441313296327738,0.06356632037568274,0.10537304766745377,-0.05055143833809683,0.03647834892092154,0.008486997843074917,0.011071505692328919,99,0.8425766331250178,212.3293115475045,0.31319145945109395,0.3787782694542336,0.3080302710946725
DQN,rl,0,covid_crash,-0.08176392893788431,-0.19517403375060582,0.09507083871233217,-2.2357356195579383,-3.132813485990801,-0.11206333107809319,-1.741640480190577,0.012054592798427981,0.015250220298541933,99,0.6303563691268517,158.84980501996662,0.381188031363606,0.2879123188698067,0.33089964976658715
DQN,rl,1,covid_crash,0.026864477088378358,0.06980876039985873,0.0954937656889601,0.7540237026881452,1.1475009265869307,-0.04286512314676327,1.628567825662014,0.009550200513304978,0.013525621026364898,99,0.6806642852986109,171.52739989524994,0.43175230956935917,0.15912350064646635,0.4091241897841746
DQN,rl,2,covid_crash,-0.01207605570344994,-0.03045284017190264,0.09972379487379229,-0.2608001472887041,-0.44141522757143253,-0.05309855448473999,-0.5735154274426527,0.009567943479564321,0.012909724077598082,99,0.6146948528990827,154.90310293056882,0.5329721086724046,0.2953367660921691,0.1716911252354263
PPO,rl,0,covid_crash,-0.036919771555767644,-0.09131459497987637,0.08714490988614652,-1.0554893072139209,-1.5994676653031876,-0.06742438199206824,-1.3543260209729258,0.010090866487268979,0.012463361707500722,99,0.9423578214994265,237.47417101785547,0.21776214902939087,0.4823597849522065,0.29987806601840267
PPO,rl,1,covid_crash,-0.09455316022706806,-0.2234013727651064,0.1095707963988041,-2.251853167436864,-2.911379337940553,-0.10625448300900076,-2.1025124440743097,0.01389431557287661,0.01785909265991111,99,0.5533519396309423,139.44468878699746,0.04916823728828757,0.22154368428442642,0.729288078427286
PPO,rl,2,covid_crash,-0.026831812441399316,-0.06688999615056401,0.09634825863700928,-0.6707442185685335,-0.9565876476763432,-0.06241593452972727,-1.0716814008241093,0.011364731783353748,0.014688612996559613,99,0.7814908391294676,196.93569146062583,0.26735477282453207,0.407300200304507,0.325345026870961
static_60_30_10,baseline,-1,recovery_2020_21,-0.383991617347225,-0.2862857156473758,0.1646894680674138,-1.9642848662783596,-2.719647791397584,-0.4190884454743503,-0.6831152677648745,0.01973376373107906,0.024825970865224353,362,0.008611049586116562,2.1699844957013736,0.5994938625864417,0.3003885896826671,0.1001175477308913
equal_weight,baseline,-1,recovery_2020_21,-0.25530888124539897,-0.18552371810324753,0.10320195990718987,-1.936096950368484,-2.879596492443077,-0.2674646805464933,-0.6936381944867596,0.011352642388868336,0.014965697290158658,362,0.007817917277114433,1.970115153832837,0.33289952029864933,0.3335763130428886,0.333524166658462
buy_and_hold,baseline,-1,recovery_2020_21,-0.23059805597913086,-0.16680321271507947,0.09468341514313788,-1.879343616839803,-2.7490966400825143,-0.23616289443862293,-0.706305760316765,0.010339501876520654,0.013918880757444825,362,3.327602159442803e-17,8.385557441795865e-15,0.25959096119476255,0.3825894838198262,0.3578195549854112
inverse_vol,baseline,-1,recovery_2020_21,-0.1383935736360482,-0.0984985343551642,0.06895187076872493,-1.469125836519054,-2.136403211882273,-0.14662661863806292,-0.6717643444966881,0.007924212722927195,0.010489971848219506,362,0.011978714318085084,3.0186360081574413,0.18048169707999362,0.6029376956781926,0.21658060724181383
random,baseline,-1,recovery_2020_21,-0.3712682324213553,-0.27605562412855456,0.1546878980123979,-2.0095989331016724,-2.5929216235245938,-0.3858507807936672,-0.7154465867886235,0.015187929445901346,0.025362823698245333,362,0.9834645484466459,247.83306620855475,0.3283389099641167,0.3406119172953322,0.3310491727405511
DQN,rl,0,recovery_2020_21,-0.371855213290751,-0.2765261866503874,0.17132140821240732,-1.8025302950026016,-2.442921878856401,-0.3838747296535674,-0.7203552755346567,0.017438023288616947,0.027431819173510306,362,0.7742210985080699,195.1037168240336,0.3985099256209781,0.26529586666060134,0.3361942077184206
DQN,rl,1,recovery_2020_21,-0.35564157404764873,-0.2635768383982553,0.16609969783808176,-1.7581320391540665,-2.6026342788972854,-0.36404182066256296,-0.7240290083115739,0.015720904686874995,0.024711413792492063,362,0.7292239697192883,183.76444036926065,0.3935289031304978,0.2403365126582108,0.3661345842112914
DQN,rl,2,recovery_2020_21,-0.33316428022697375,-0.2457873909720416,0.1909397082127161,-1.3812894308457548,-1.9039876319425026,-0.43621994302903,-0.5634483129435572,0.020480179267390066,0.02994115580653204,362,0.6976448591226841,175.8065044989164,0.41947165193755076,0.28059886083101354,0.29992948723143575
PPO,rl,0,recovery_2020_21,-0.15652600424937768,-0.11174819422476467,0.16461611335035503,-0.637842322788764,-0.9661899863120481,-0.22581064848492471,-0.494875662306178,0.01604861397621659,0.023578566601998908,362,0.8410531297493891,211.94538869684604,0.33753038509927824,0.30988494088055785,0.3525846740201639
PPO,rl,1,recovery_2020_21,-0.20152647899863452,-0.14501132728065624,0.20734022760730356,-0.6520540839214503,-0.8887142390435409,-0.29681353115885467,-0.48856036554157684,0.01953474948998182,0.03259519503767861,362,0.7222867145553357,182.01625206794458,0.33218597361728697,0.2274230009850252,0.4403910253976879
PPO,rl,2,recovery_2020_21,-0.21971074996595918,-0.15861332939557504,0.15848105484262803,-1.0101692195604057,-1.3408236706325518,-0.2930931078652129,-0.5411704510926877,0.014597193858241183,0.024653893751175823,362,0.8840483075882344,222.78017351223505,0.31101309985032594,0.35938924568434605,0.329597654465328
static_60_30_10,baseline,-1,inflation_2022,-0.05814416665395816,-0.06379379636965832,0.07287000879630019,-0.8681907286115162,-1.3668943041197652,-0.09199025683891393,-0.6934842728112932,0.008293808603738708,0.010045096889938572,229,0.006119487011653013,1.5421107269365593,0.5997592143341063,0.3001930576040007,0.10004772806189295
equal_weight,baseline,-1,inflation_2022,-0.0058126624272695215,-0.006394596544007314,0.0648950400048081,-0.0665289288685243,-0.10163449295143145,-0.0596254013089732,-0.10724618037992094,0.00713754042669173,0.008484516752451116,229,0.004663435521811019,1.1751857514963768,0.33312554590279847,0.3334678299486265,0.33340662414857514
